Sample_label	PANGAEA	[TARA_station#]	Latitude	Longitude	Sampling_depth	EnvironmentalFeature	Size_Fraction_lower	Size_fraction_upper 	Marine_pelagic_biomes_Longhurst_2007	Ocean_sea_regions	Marine_pelagic_biomes
TARA_004_DCM_0.22-1.6	TARA_X000000368	TARA_004	36.5533	-6.5669	40	(DCM)	0.22	1.6	Westerlies	(NAO)	(NAST-E)
TARA_004_SRF_0.22-1.6	TARA_Y200000002	TARA_004	36.5533	-6.5669	5	(SRF)	0.22	1.6	Westerlies	(NAO)	(NAST-E)
TARA_007_DCM_0.22-1.6	TARA_A200000159	TARA_007	37.0541	1.9478	42	(DCM)	0.22	1.6	Westerlies	(MS)	(MEDI)
TARA_007_SRF_0.22-1.6	TARA_A200000113	TARA_007	37.051	1.9378	5	(SRF)	0.22	1.6	Westerlies	(MS)	(MEDI)
TARA_009_DCM_0.22-1.6	TARA_X000001036	TARA_009	39.0609	5.9422	55	(DCM)	0.22	1.6	Westerlies	(MS)	(MEDI)
TARA_009_SRF_0.22-1.6	TARA_X000000950	TARA_009	39.1633	5.916	5	(SRF)	0.22	1.6	Westerlies	(MS)	(MEDI)
TARA_018_DCM_0.22-1.6	TARA_S200000501	TARA_018	35.7528	14.2765	60	(DCM)	0.22	1.6	Westerlies	(MS)	(MEDI)
TARA_018_DCM_<-0.22	TARA_A100000172	TARA_018	35.7528	14.2765	60	(DCM)	<	0.22	Westerlies	(MS)	(MEDI)
TARA_018_SRF_0.22-1.6	TARA_A100000164	TARA_018	35.759	14.2574	5	(SRF)	0.22	1.6	Westerlies	(MS)	(MEDI)
TARA_018_SRF_<-0.22	TARA_A100000171	TARA_018	35.759	14.2574	5	(SRF)	<	0.22	Westerlies	(MS)	(MEDI)
TARA_022_SRF_<-0.22	TARA_S200002703	TARA_022	39.8386	17.4155	5	(SRF)	<	0.22	Westerlies	(MS)	(MEDI)
TARA_023_DCM_0.22-1.6	TARA_E500000081	TARA_023	42.1735	17.7252	55	(DCM)	0.22	1.6	Westerlies	(MS)	(MEDI)
TARA_023_DCM_<-0.22	TARA_X000001382	TARA_023	42.1735	17.7252	55	(DCM)	<	0.22	Westerlies	(MS)	(MEDI)
TARA_023_SRF_0.22-1.6	TARA_E500000075	TARA_023	42.2038	17.715	5	(SRF)	0.22	1.6	Westerlies	(MS)	(MEDI)
TARA_025_DCM_0.22-1.6	TARA_E500000331	TARA_025	39.3991	19.3997	50	(DCM)	0.22	1.6	Westerlies	(MS)	(MEDI)
TARA_025_DCM_<-0.22	TARA_E500000305	TARA_025	39.3991	19.3997	50	(DCM)	<	0.22	Westerlies	(MS)	(MEDI)
TARA_025_SRF_0.22-1.6	TARA_E500000178	TARA_025	39.3888	19.3905	5	(SRF)	0.22	1.6	Westerlies	(MS)	(MEDI)
TARA_025_SRF_<-0.22	TARA_E500000318	TARA_025	39.3888	19.3905	5	(SRF)	<	0.22	Westerlies	(MS)	(MEDI)
TARA_030_DCM_0.22-1.6	TARA_A100001011	TARA_030	33.9235	32.8118	70	(DCM)	0.22	1.6	Westerlies	(MS)	(MEDI)
TARA_030_DCM_<-0.22	TARA_X000001388	TARA_030	33.9235	32.8118	70	(DCM)	<	0.22	Westerlies	(MS)	(MEDI)
